ID,Quote,Author,Tags
60,"Get Off The Scale!You are beautiful. Your beauty, just like your capacity for life, happiness, and success, is immeasurable. Day after day, countless people across the globe get on a scale in search of validation of beauty and social acceptance.Get off the scale! I have yet to see a scale that can tell you how enchanting your eyes are. I have yet to see a scale that can show you how wonderful your hair looks when the sun shines its glorious rays on it. I have yet to see a scale that can thank you for your compassion, sense of humor, and contagious smile. Get off the scale because I have yet to see one that can admire you for your perseverance when challenged in life.It’s true, the scale can only give you a numerical reflection of your relationship with gravity. That’s it. It cannot measure beauty, talent, purpose, life force, possibility, strength, or love. Don’t give the scale more power than it has earned. Take note of the number, then get off the scale and live your life. You are beautiful!","Steve Maraboli, Life, the Truth, and Being Free","beauty,inspirational,life,motivational,scale,self-empowerment,self-image,weight-loss"
61,"If you hang out with chickens, you're going to cluck and if you hang out with eagles, you're going to fly.","Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","accountability,friends,inspirational,life,motivational,purpose,responsibility,success"
62,"Great leaders create more leaders, not followers.","Roy T. Bennett, The Light in the Heart","inspiration,inspirational,inspirational-quotes,inspire,inspiring,leaders,leadership,life,life-quotes,living,motivation,motivational,optimism,optimistic"
63,"Renew, release, let go. Yesterday’s gone. There’s nothing you can do to bring it back. You can’t “should’ve” done something. You can only DO something. Renew yourself. Release that attachment. Today is a new day!","Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","action,attachment,change,inspirational,letting-go,life,live-now,motivational,success,today"
64,How would your life be different if…You walked away from gossip and verbal defamation? Let today be the day…You speak only the good you know of other people and encourage others to do the same.,"Steve Maraboli, Life, the Truth, and Being Free","encouragement,friends,gossip,inspirational,life,motivational,relationships"
65,What's done is done. What's gone is gone. One of life's lessons is always moving on. It’s okay to look back to see how far you’ve come but keep moving forward.,"Roy T. Bennett, The Light in the Heart","inspiration,inspirational,inspirational-quotes,inspire,inspiring,keep-going,keep-moving-forward,life,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
66,"You cannot change anyone, but you can be the reason someone changes.","Roy T. Bennett, The Light in the Heart","change,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
67,"If you don’t give up on something you truly believe in, you will find a way.",Roy T. Bennett,"believe,believe-in-yourself,don-t-give-up,inspiration,inspirational,inspirational-quotes,inspire,inspiring,life,life-quotes,living,motivation,motivational,never-give-up,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
68,Be the positive impact on the lives of others.,Roy T. Bennett,"inspiration,inspirational,inspirational-quotes,inspire,inspiring,life,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
69,"Live the Life of Your DreamsWhen you start living the life of your dreams, there will always be obstacles, doubters, mistakes and setbacks along the way. But with hard work, perseverance and self-belief there is no limit to what you can achieve.","Roy T. Bennett, The Light in the Heart","achievement,act,action,being-positive,belief,believe-in-yourself,do,doing,dreams,hard-work,inspiration,inspirational,life,live,living,living-life,mistakes,motivation,motivational,obstacles,optimism,optimistic,perseverance,positive,positive-affirmation,positive-life,positive-thinking,self-belief,setbacks,start,startup"
70,"Forget yesterday - it has already forgotten you. Don't sweat tomorrow - you haven't even met. Instead, open your eyes and your heart to a truly precious gift - today.","Steve Maraboli, Life, the Truth, and Being Free","appreciation,change,gratitude,inspirational,life,live-now,motivational,success,today"
71,Dreams don't work unless you take action. The surest way to make your dreams come true is to live them.,Roy T. Bennett,"action,do,dream,dream-comes-true,dreams,dreams-come-true,dreams-quotes,inspiration,inspirational,inspirational-quotes,inspire,inspiring,life,life-quotes,living,living-life,motivational,motivational-inspirational,positive-affirmation,positive-life,positive-thinking,positivity,take-action,take-actions"
72,The surest way to make your dreams come true is to live them.,Roy T. Bennett,"dream,dream-comes-true,dreams,dreams-come-true,dreams-quotes,inspiration,inspirational,inspirational-quotes,inspire,inspiring,life,life-quotes,living,living-life,motivational,motivational-inspirational,positive-affirmation,positive-life,positive-thinking,positivity"
73,Turn your obstacles into opportunities and your problems into possibilities.,"Roy T. Bennett, The Light in the Heart","inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,obstacle,opportunity,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,possibility,problem"
74,It takes sunshine and rain to make a rainbow. There would be no rainbows without sunshine and rain.,"Roy T. Bennett, The Light in the Heart","inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,rainbow,rainbows"
75,"I want to live my life in such a way that when I get out of bed in the morning, the devil says, ""aw shit, he's up!","Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","aspirations,devil,goodness,inspirational,life,live,morning,motivational,purpose"
76,Discipline Your Mind to Think Positively: Discipline your mind to see the good in every situation and look on the best side of every event.,"Roy T. Bennett, The Light in the Heart","inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
77,"Failure is a bend in the road, not the end of the road. Learn from failure and keep moving forward.",Roy T. Bennett,"change,failure,failures,inspiration,inspirational,inspirational-quotes,inspire,inspiring,keep-going,keep-moving-forward,learn,learning,life,life-quotes,living,motivation,motivational,optimism,optimistic,perseverance,positive,positive-affirmation,positive-life,positive-thinking,risk,success"
78,Don’t wait for things to happen. Make them happen.,Roy T. Bennett,"act,action,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
79,"It takes guts and humility to admit mistakes. Admitting we're wrong is courage, not weakness.","Roy T. Bennett, The Light in the Heart","courage,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,mistakes,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
80,How would your life be different if…You stopped allowing other people to dilute or poison your day with their words or opinions? Let today be the day…You stand strong in the truth of your beauty and journey through your day without attachment to the validation of others,"Steve Maraboli, Life, the Truth, and Being Free","choices,inspirational,life,motivational,opinions,self-empowerment,self-esteem,self-love"
81,It doesn’t matter how many times you get knocked down. All that matters is you get up one more time than you were knocked down.,Roy T. Bennett,"ability,don-t-give-up,inspiration,inspirational,inspirational-quotes,inspire,inspiring,leader,leaders,leadership,life,life-quotes,living,motivation,motivational,never-give-up,optimism,optimistic,perseverance,persistence,positive,positive-affirmation,positive-life,positive-thinking,vision"
82,"Don't wait for the right moment to start, start and make each moment right.","Roy T. Bennett, The Light in the Heart","inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quote,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-philosophy,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,start-up"
83,Good people see the good and bring out the best in other people.,"Roy T. Bennett, The Light in the Heart","goodness,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,leader,leadership,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
